Current position: 10. Input string : PUSH 100  Written bytes: 25 00 00 c8 42 
Current position: 164. Input string : POP [ cx ]  Written bytes: c6 03 

Current position: 166. Input string : JMP: REPEAT1141679994  Written bytes: 19 e1 00 00 00 

Current position: 16b. Input string : PUSH 0  Written bytes: 25 00 00 00 00 

Current position: 170. Input string : PUSH 0  Written bytes: 25 00 00 00 00 

Current position: 175. Input string : PUSH dx  Written bytes: 45 04 

Current position: 177. Input string : ADD  Written bytes: 01 

Current position: 178. Input string : ADD  Written bytes: 01 

Current position: 179. Input string : POP cx   Written bytes: 46 03 

Current position: 17b. Input string : PUSH [ cx ]  Written bytes: c5 03 

Current position: 17d. Input string : POP [dx + 2]  Written bytes: e6 04 00 00 00 40 

Current position: 183. Input string : PUSH dx  Written bytes: 45 04 

Current position: 185. Input string : PUSH 2  Written bytes: 25 00 00 00 40 

Current position: 18a. Input string : ADD  Written bytes: 01 

Current position: 18b. Input string : POP dx  Written bytes: 46 04 

Current position: 18d. Input string : CALL: 1843882628  Written bytes: 18 1d 00 00 00 

Current position: 192. Input string : PUSH ex  Written bytes: 45 05 

Current position: 194. Input string : PUSH dx  Written bytes: 45 04 

Current position: 196. Input string : PUSH 2  Written bytes: 25 00 00 00 40 

Current position: 19b. Input string : SUB  Written bytes: 02 

Current position: 19c. Input string : POP dx  Written bytes: 46 04 

Current position: 19e. Input string : OUT  Written bytes: 07 

Current position: 19f. Input string : RET  Written bytes: 09 

Filled jump destination. Ip: 18. Destination Ip: cb 

Filled jump destination. Ip: 3b. Destination Ip: 4c 

Filled jump destination. Ip: 48. Destination Ip: 4c 

Filled jump destination. Ip: 6a. Destination Ip: 7b 

Filled jump destination. Ip: 77. Destination Ip: ca 

Filled jump destination. Ip: ff. Destination Ip: 16b 

